title,release_date,budget,revenue,vote_count,vote_average,runtime,id,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western
Gladiator,2000-05-04,103000000,465361176,16062,8.205,155,98,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Memento,2000-10-11,9000000,39723096,13002,8.19,113,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
X-Men,2000-07-13,75000000,296339527,10083,6.986,104,36657,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cast Away,2000-12-22,90000000,429632142,9985,7.657,143,8358,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
American Psycho,2000-04-13,7000000,34266564,8941,7.392,102,1359,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Requiem for a Dream,2000-10-06,4500000,7390108,8617,8.034,102,641,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Unbreakable,2000-11-22,75000000,248118121,8198,7.132,106,9741,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Snatch,2000-09-01,10000000,83557872,7818,7.798,103,107,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How the Grinch Stole Christmas,2000-11-15,123000000,345823040,6420,6.745,104,8871,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Scary Movie,2000-07-07,19000000,278019771,5968,6.319,88,4247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Emperor's New Groove,2000-12-15,100000000,169327687,5777,7.549,78,11688,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mission: Impossible II,2000-05-24,125000000,546388105,5630,6.11,123,955,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Meet the Parents,2000-10-06,55000000,330444045,5260,6.667,108,1597,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Final Destination,2000-03-17,23000000,112880294,4753,6.572,98,9532,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chicken Run,2000-06-21,45000000,224834564,4257,6.737,84,7443,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pitch Black,2000-02-18,23000000,53187659,3866,6.832,108,2787,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The Beach,2000-02-03,40000000,144056873,3839,6.457,119,1907,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Gone in Sixty Seconds,2000-06-09,90000000,237202299,3804,6.391,118,9679,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Charlie's Angels,2000-11-02,92000000,264105545,3686,5.818,98,4327,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
