title,release_date,budget,revenue,vote_count,vote_average,runtime,id,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western
Gladiator,2000-05-04,103000000,465361176,16153,8.205,155,98,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Memento,2000-10-11,9000000,39723096,13072,8.189,113,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
X-Men,2000-07-13,75000000,296339527,10122,6.987,104,36657,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cast Away,2000-12-22,90000000,429632142,10041,7.656,143,8358,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
American Psycho,2000-04-13,7000000,34266564,9036,7.39,102,1359,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Requiem for a Dream,2000-10-06,4500000,7390108,8682,8.034,102,641,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Unbreakable,2000-11-22,75000000,248118121,8239,7.134,106,9741,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Snatch,2000-09-01,10000000,83557872,7865,7.798,103,107,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How the Grinch Stole Christmas,2000-11-15,123000000,345823040,6451,6.747,104,8871,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Scary Movie,2000-07-07,19000000,278019771,6018,6.321,88,4247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Emperor's New Groove,2000-12-15,100000000,169327687,5815,7.5,78,11688,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mission: Impossible II,2000-05-24,125000000,546388105,5648,6.1,123,955,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Meet the Parents,2000-10-06,55000000,330444045,5281,6.668,108,1597,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Final Destination,2000-03-17,23000000,112880294,4780,6.57,98,9532,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chicken Run,2000-06-21,45000000,224834564,4291,6.741,84,7443,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pitch Black,2000-02-18,23000000,53187659,3883,6.832,108,2787,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
The Beach,2000-02-03,40000000,144056873,3861,6.46,119,1907,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Gone in Sixty Seconds,2000-06-09,90000000,237202299,3824,6.4,118,9679,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
